track_id,artist_name,track_title,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
7zgqtptZvhf8GEmdsM2vp2,Taylor Swift,...Ready For It?,0.615,0.779,2,-6.454,1,0.135,0.0665,0.0,0.155,0.453,160.0,208198
4Vxu50qVrQcycjRyJQaZLC,Thomas Rhett,Life Changes,0.687,0.845,7,-4.37,1,0.0576,0.1,0.0,0.0452,0.809,87.972,190227
6b8Be6ljOzmkOmFslEb23P,Bruno Mars,24K Magic,0.818,0.803,1,-4.282,1,0.0797,0.034,0.0,0.153,0.632,106.97,225983
0afhq8XCExXpqazXczTSve,Ed Sheeran,Galway Girl,0.624,0.876,9,-3.374,1,0.1,0.0735,0.0,0.327,0.781,99.943,170827
1HNkqx9Ahdgi1Ixy2xkKkL,Ed Sheeran,Photograph,0.614,0.379,4,-10.48,1,0.0476,0.607,0.000464,0.0986,0.201,107.989,258987
0ofbQMrRDsUaVKq2mGLEAb,Camila Cabello,Havana (feat. Young Thug),0.768,0.517,7,-4.323,0,0.0312,0.186,3.8e-05,0.104,0.418,104.992,216897
0nJW01T7XtvILxQgC5J7Wh,Bruno Mars,When I Was Your Man,0.612,0.28,0,-8.648,1,0.0434,0.932,0.0,0.088,0.387,72.795,213827
6C2PfemHQul77DVpnvuAIs,Bill Conti,Gonna Fly Now,0.415,0.538,9,-12.71,0,0.0368,0.4,0.767,0.0674,0.449,95.121,170240
3PGdPUMdUg7a3Tgr5gkfKK,Maroon 5,Don't Wanna Know (feat. Kendrick Lamar),0.776,0.62,7,-6.198,1,0.067,0.341,0.0,0.0978,0.427,100.025,214265
34gCuhDGsG4bRPIf9bb02f,Ed Sheeran,Thinking out Loud,0.781,0.445,2,-6.061,1,0.0295,0.474,0.0,0.184,0.591,78.998,281560
3528IXKpbb7OMjdjWYlbfD,Neon Trees,Everybody Talks,0.471,0.924,8,-3.906,1,0.0586,0.00301,0.0,0.313,0.725,154.961,177280
7AEAGTc8cReDqcbPoY9gwo,Taylor Swift,We Are Never Ever Getting Back Together,0.628,0.676,7,-5.911,1,0.0916,0.00957,2.65e-05,0.102,0.75,85.984,191880
273dCMFseLcVsoSWx59IoE,Taylor Swift,Bad Blood,0.65,0.802,7,-6.114,1,0.181,0.0871,6.54e-06,0.148,0.295,170.146,211933
1X1DWw2pcNZ8zSub3uhlNz,The Script,Hall of Fame (feat. will.i.am),0.421,0.873,10,-4.343,1,0.0564,0.0654,0.0,0.123,0.629,84.786,202533
1LmN9SSHISbtp9LoaR5ZVJ,Maroon 5,Payphone,0.739,0.756,4,-4.828,1,0.0394,0.0136,0.0,0.37,0.523,110.028,231387
2iuZJX9X9P0GKaE93xcPjk,Maroon 5,Sugar,0.748,0.788,1,-7.055,1,0.0334,0.0591,0.0,0.0863,0.884,120.076,235493
0JcKdUGNR7zI4jJDLyYXbi,Sugarland,Stuck Like Glue,0.702,0.795,1,-4.764,1,0.0568,0.329,0.0,0.0505,0.836,83.961,247587
0KKkJNfGyhkQ5aFogxQAPU,Bruno Mars,That's What I Like,0.853,0.56,1,-4.961,1,0.0406,0.013,0.0,0.0944,0.86,134.066,206693
